"Step","110-dynamic","110-dynamic - dead-1__MIN","110-dynamic - dead-1__MAX","110-ofb","110-ofbt - dead-1__MIN","110-ofbt - dead-1__MAX","110-static-1","110-static-1 - dead-1__MIN","110-static-1 - dead-1__MAX","110-every-100","110-every-100 - dead-1__MIN","110-every-100 - dead-1__MAX","110-every-10","110-every-10 - dead-1__MIN","110-every-10 - dead-1__MAX"
"1313","","","","9","9","9","","","","","","","","",""
"1314","","","","","","","4","4","4","","","","","",""
"1315","","","","","","","","","","","","","0","0","0"
"1321","","","","","","","3","3","3","","","","","",""
"1322","","","","","","","6","6","6","","","","0","0","0"
"1324","","","","0","0","0","","","","","","","","",""
"1325","0","0","0","","","","","","","","","","","",""
"1329","","","","","","","","","","0","0","0","","",""
"1333","","","","","","","","","","0","0","0","","",""
"1338","","","","0","0","0","","","","","","","","",""
"1343","","","","","","","2","2","2","","","","","",""
"1347","","","","","","","","","","3","3","3","","",""
"1348","","","","","","","5","5","5","","","","","",""
"1354","","","","0","0","0","","","","","","","","",""
"1357","","","","","","","","","","3","3","3","","",""
"1359","","","","","","","","","","","","","13","13","13"
"1360","0","0","0","","","","","","","","","","","",""
"1362","","","","","","","","","","9","9","9","","",""
"1364","","","","","","","","","","4","4","4","","",""
"1366","0","0","0","","","","","","","","","","","",""
"1369","0","0","0","","","","","","","","","","","",""
"1372","0","0","0","","","","","","","","","","","",""
"1374","0","0","0","","","","","","","","","","","",""
"1377","","","","","","","","","","","","","7","7","7"
"1380","","","","","","","","","","","","","6","6","6"
"1382","","","","","","","","","","","","","15","15","15"
"1384","","","","0","0","0","","","","","","","","",""
"1391","","","","0","0","0","","","","","","","","",""
"1394","","","","","","","","","","","","","8","8","8"
"1405","","","","0","0","0","","","","","","","5","5","5"
"1408","","","","","","","","","","1","1","1","","",""
"1411","","","","","","","","","","","","","5","5","5"
"1413","","","","","","","","","","6","6","6","","",""
"1414","0","0","0","","","","","","","","","","","",""
"1421","","","","","","","","","","7","7","7","","",""
"1422","0","0","0","","","","","","","","","","","",""
"1425","","","","","","","","","","","","","5","5","5"
"1427","","","","","","","","","","","","","5","5","5"
"1428","","","","","","","","","","","","","4","4","4"
"1431","","","","","","","","","","0","0","0","","",""
"1439","0","0","0","","","","","","","","","","","",""
"1443","0","0","0","","","","","","","","","","","",""
"1448","","","","","","","","","","","","","0","0","0"
"1449","","","","","","","2","2","2","","","","","",""
"1451","","","","0","0","0","5","5","5","","","","","",""
"1461","0","0","0","","","","","","","","","","","",""
"1464","0","0","0","","","","","","","","","","","",""
"1466","","","","","","","","","","","","","0","0","0"
"1467","0","0","0","","","","","","","","","","","",""
"1469","0","0","0","","","","","","","","","","","",""
"1474","0","0","0","","","","4","4","4","","","","","",""
"1476","0","0","0","","","","","","","","","","","",""
"1480","","","","0","0","0","","","","6","6","6","","",""
"1486","","","","","","","","","","6","6","6","","",""
"1489","","","","","","","","","","3","3","3","","",""
"1496","","","","","","","1","1","1","","","","","",""
"1503","","","","","","","0","0","0","","","","","",""
"1504","","","","","","","0","0","0","","","","","",""
"1505","","","","","","","","","","","","","0","0","0"
"1508","","","","","","","","","","","","","0","0","0"
"1512","","","","0","0","0","","","","","","","","",""
"1514","","","","0","0","0","0","0","0","","","","0","0","0"
"1515","","","","","","","","","","","","","0","0","0"
"1519","","","","0","0","0","","","","","","","","",""
"1520","","","","","","","0","0","0","","","","","",""
"1526","0","0","0","","","","","","","","","","","",""
"1528","","","","","","","0","0","0","","","","","",""
"1529","","","","0","0","0","","","","","","","","",""
"1538","","","","","","","","","","","","","0","0","0"
"1539","","","","0","0","0","","","","","","","","",""
"1540","0","0","0","","","","","","","","","","","",""
"1550","","","","","","","","","","","","","0","0","0"
"1553","","","","","","","","","","0","0","0","","",""
"1557","","","","","","","","","","6","6","6","","",""
"1565","","","","","","","0","0","0","","","","","",""
"1572","0","0","0","","","","","","","","","","","",""
