"Step","110-dynamic","110-dynamic - drop-0__MIN","110-dynamic - drop-0__MAX","110-ofb","110-ofbt - drop-0__MIN","110-ofbt - drop-0__MAX","110-static-1","110-static-1 - drop-0__MIN","110-static-1 - drop-0__MAX","110-every-100","110-every-100 - drop-0__MIN","110-every-100 - drop-0__MAX","110-every-10","110-every-10 - drop-0__MIN","110-every-10 - drop-0__MAX"
"1147","","","","","","","","","","0","0","0","","",""
"1153","","","","","","","","","","0","0","0","","",""
"1154","","","","","","","0","0","0","","","","","",""
"1156","","","","","","","","","","0","0","0","0","0","0"
"1160","","","","0","0","0","","","","","","","","",""
"1161","","","","0","0","0","","","","","","","","",""
"1165","","","","0","0","0","","","","","","","","",""
"1171","","","","","","","0","0","0","","","","","",""
"1178","","","","","","","","","","0","0","0","","",""
"1185","","","","","","","","","","0","0","0","","",""
"1188","","","","","","","0","0","0","","","","","",""
"1190","","","","","","","","","","0","0","0","","",""
"1194","","","","","","","","","","0","0","0","","",""
"1197","3","3","3","","","","","","","","","","","",""
"1200","","","","","","","","","","","","","0","0","0"
"1203","","","","","","","0","0","0","","","","","",""
"1213","","","","","","","0","0","0","","","","","",""
"1219","","","","0","0","0","","","","","","","","",""
"1223","","","","","","","","","","0","0","0","","",""
"1229","","","","","","","0","0","0","","","","","",""
"1230","","","","","","","","","","0","0","0","","",""
"1236","3","3","3","","","","0","0","0","","","","","",""
"1241","","","","","","","0","0","0","","","","0","0","0"
"1244","","","","0","0","0","","","","","","","","",""
"1250","","","","","","","","","","0","0","0","","",""
"1251","0","0","0","","","","","","","","","","","",""
"1256","","","","","","","","","","0","0","0","","",""
"1263","","","","0","0","0","","","","","","","","",""
"1265","","","","","","","","","","0","0","0","","",""
"1277","","","","","","","0","0","0","","","","","",""
"1279","","","","","","","","","","","","","0","0","0"
"1282","5","5","5","","","","","","","","","","","",""
"1287","","","","","","","","","","0","0","0","","",""
"1288","","","","","","","","","","","","","0","0","0"
"1290","","","","","","","","","","","","","0","0","0"
"1296","","","","0","0","0","","","","","","","","",""
"1300","7","7","7","","","","","","","","","","","",""
"1302","7","7","7","","","","","","","","","","","",""
"1303","","","","","","","","","","0","0","0","","",""
"1307","2","2","2","","","","","","","","","","","",""
"1311","","","","","","","0","0","0","","","","","",""
"1328","","","","","","","","","","0","0","0","","",""
"1335","","","","0","0","0","","","","","","","","",""
"1338","","","","","","","","","","0","0","0","","",""
"1339","","","","","","","","","","","","","0","0","0"
"1340","","","","0","0","0","","","","","","","","",""
"1341","","","","0","0","0","","","","","","","","",""
"1344","","","","0","0","0","","","","0","0","0","","",""
"1346","","","","","","","0","0","0","","","","","",""
"1357","0","0","0","","","","","","","","","","0","0","0"
"1358","","","","","","","","","","0","0","0","","",""
"1363","","","","0","0","0","","","","","","","","",""
"1367","","","","","","","0","0","0","","","","0","0","0"
"1369","0","0","0","","","","","","","","","","","",""
"1371","0","0","0","","","","","","","","","","","",""
"1373","","","","","","","","","","","","","0","0","0"
"1374","","","","","","","","","","0","0","0","","",""
"1376","","","","","","","","","","","","","0","0","0"
"1377","","","","","","","0","0","0","","","","","",""
"1379","","","","","","","0","0","0","","","","","",""
"1385","","","","","","","","","","0","0","0","","",""
"1386","","","","","","","","","","","","","0","0","0"
"1389","","","","","","","","","","","","","0","0","0"
"1392","","","","","","","0","0","0","","","","","",""
"1393","","","","","","","","","","","","","0","0","0"
"1394","","","","","","","0","0","0","0","0","0","","",""
"1395","","","","","","","0","0","0","","","","","",""
"1396","0","0","0","","","","","","","","","","","",""
"1398","","","","","","","0","0","0","","","","","",""
"1403","","","","","","","","","","","","","0","0","0"
"1406","","","","","","","","","","0","0","0","","",""
"1408","","","","0","0","0","","","","","","","","",""
"1412","","","","","","","","","","0","0","0","","",""
"1413","","","","","","","0","0","0","","","","","",""
"1415","","","","0","0","0","","","","","","","","",""
"1416","","","","","","","0","0","0","","","","","",""
"1420","","","","","","","","","","","","","0","0","0"
"1422","","","","0","0","0","","","","","","","","",""
"1423","","","","","","","","","","","","","0","0","0"
"1424","","","","","","","","","","","","","0","0","0"
"1427","3","3","3","","","","","","","","","","","",""
"1429","","","","","","","","","","0","0","0","","",""
"1432","0","0","0","","","","","","","","","","","",""
"1436","0","0","0","","","","","","","","","","","",""
"1439","2","2","2","","","","","","","","","","","",""
"1451","","","","","","","","","","","","","0","0","0"
"1454","","","","","","","","","","0","0","0","","",""
"1456","1","1","1","","","","","","","","","","","",""
"1459","","","","0","0","0","","","","","","","","",""
"1462","1","1","1","","","","","","","","","","0","0","0"
"1463","","","","0","0","0","","","","","","","","",""
"1470","0","0","0","","","","","","","","","","0","0","0"
"1473","","","","0","0","0","","","","","","","","",""
"1480","","","","","","","0","0","0","0","0","0","","",""
"1490","","","","","","","","","","0","0","0","","",""
"1501","","","","","","","0","0","0","0","0","0","","",""
"1504","","","","","","","0","0","0","","","","","",""
"1506","","","","","","","0","0","0","","","","","",""
"1509","2","2","2","0","0","0","0","0","0","","","","","",""
"1512","","","","","","","0","0","0","","","","","",""
"1517","","","","","","","0","0","0","","","","","",""
"1533","","","","","","","","","","0","0","0","","",""
