"Step","ofb-final-steps2M-Seed1 - slice1:incoming-traffic","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","static-final-steps2M-Seed1 - slice1:incoming-traffic","static-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","static-final-steps2M-Seed1 - slice1:incoming-traffic__MAX"
"29790","12","12","12","12","12","12","13","13","13"
"29810","9","9","9","5","5","5","","",""
"29970","12","12","12","9","9","9","","",""
"30090","12","12","12","8","8","8","","",""
"30340","","","","","","","9","9","9"
"30360","","","","","","","8","8","8"
"30630","9","9","9","11","11","11","","",""
"30800","","","","","","","10","10","10"
"30830","","","","","","","13","13","13"
"30910","","","","","","","15","15","15"
"31000","8","8","8","10","10","10","","",""
"31020","","","","","","","11","11","11"
"31070","10","10","10","6","6","6","","",""
"31140","","","","","","","7","7","7"
"31310","","","","","","","13","13","13"
"31350","7","7","7","6","6","6","","",""
"31360","7","7","7","11","11","11","","",""
"31420","11","11","11","7","7","7","","",""
"31440","10","10","10","7","7","7","","",""
"31450","6","6","6","9","9","9","","",""
"31630","11","11","11","7","7","7","","",""
"31800","7","7","7","9","9","9","","",""
"32010","","","","","","","7","7","7"
"32100","14","14","14","12","12","12","","",""
"32120","","","","","","","9","9","9"
"32130","","","","","","","8","8","8"
"32170","10","10","10","10","10","10","","",""
"32240","","","","","","","9","9","9"
"32310","11","11","11","14","14","14","","",""
"32430","10","10","10","7","7","7","8","8","8"
"32560","","","","","","","11","11","11"
"32620","","","","","","","5","5","5"
"32650","9","9","9","7","7","7","","",""
"32660","13","13","13","7","7","7","","",""
"32700","6","6","6","10","10","10","","",""
"32710","11","11","11","14","14","14","","",""
"32850","","","","","","","10","10","10"
"32870","11","11","11","8","8","8","","",""
"32900","","","","","","","11","11","11"
"33020","","","","","","","12","12","12"
"33060","13","13","13","10","10","10","","",""
"33080","","","","","","","6","6","6"
"33090","5","5","5","9","9","9","","",""
"33350","9","9","9","11","11","11","","",""
"33430","13","13","13","10","10","10","","",""
"33470","10","10","10","6","6","6","","",""
"33520","11","11","11","10","10","10","","",""
"33580","","","","","","","8","8","8"
"33600","","","","","","","9","9","9"
"33810","","","","","","","11","11","11"
"34020","","","","","","","11","11","11"
"34030","","","","","","","10","10","10"
"34050","13","13","13","11","11","11","","",""
"34060","13","13","13","9","9","9","","",""
"34090","9","9","9","11","11","11","","",""
"34300","","","","","","","9","9","9"
"34380","","","","","","","10","10","10"
"34540","6","6","6","7","7","7","","",""
"34570","9","9","9","11","11","11","","",""
"34600","","","","11","11","11","","",""
"34640","6","6","6","9","9","9","","",""
"34700","10","10","10","8","8","8","","",""
"34730","","","","","","","11","11","11"
"34790","9","9","9","8","8","8","","",""
"34950","","","","","","","7","7","7"
"35060","","","","","","","7","7","7"
"35110","11","11","11","11","11","11","","",""
"35120","8","8","8","10","10","10","","",""
"35200","","","","","","","10","10","10"
"35270","","","","","","","9","9","9"
"35350","11","11","11","10","10","10","","",""
"35380","","","","","","","8","8","8"
