"Step","00-dynamic","00-dynamic - latency-1__MIN","00-dynamic - latency-1__MAX","00-every-100","00-every-100 - latency-1__MIN","00-every-100 - latency-1__MAX","00-every-10","00-every-10 - latency-1__MIN","00-every-10 - latency-1__MAX","00-static-1","00-static-1 - latency-1__MIN","00-static-1 - latency-1__MAX","00-ofb","00-ofb - latency-1__MIN","00-ofb - latency-1__MAX"
"1857","0","0","0","","","","","","","","","","","",""
"1863","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","","","","","","","","",""
"1868","","","","0","0","0","","","","","","","","",""
"1870","","","","","","","0.75","0.75","0.75","","","","","",""
"1876","","","","","","","","","","0","0","0","70","70","70"
"1879","","","","","","","","","","0","0","0","70","70","70"
"1885","","","","","","","","","","0","0","0","69.75","69.75","69.75"
"1896","1.1428571428571428","1.1428571428571428","1.1428571428571428","","","","","","","","","","","",""
"1897","","","","0","0","0","","","","","","","","",""
"1900","","","","","","","","","","0","0","0","0","0","0"
"1902","","","","0","0","0","","","","","","","","",""
"1905","","","","","","","0","0","0","","","","","",""
"1909","","","","0","0","0","","","","","","","","",""
"1914","0","0","0","","","","","","","","","","","",""
"1921","","","","0","0","0","","","","","","","","",""
"1928","","","","","","","1.5","1.5","1.5","","","","","",""
"1940","0","0","0","","","","","","","0","0","0","68","68","68"
"1943","","","","","","","0","0","0","","","","","",""
"1944","0","0","0","","","","","","","","","","","",""
"1945","","","","","","","1","1","1","","","","","",""
"1954","","","","0","0","0","","","","","","","","",""
"1957","","","","0","0","0","","","","","","","","",""
"1959","0","0","0","","","","","","","","","","","",""
"1961","","","","","","","0","0","0","","","","","",""
"1962","","","","","","","0","0","0","","","","","",""
"1968","","","","","","","0","0","0","","","","","",""
"1973","","","","0","0","0","","","","0","0","0","0","0","0"
"1978","","","","0","0","0","","","","","","","","",""
"1979","","","","","","","0","0","0","","","","","",""
"1982","","","","0","0","0","","","","","","","","",""
"1986","","","","","","","","","","0","0","0","0","0","0"
"1994","","","","0","0","0","","","","","","","","",""
"1997","","","","","","","0","0","0","","","","","",""
"2000","","","","0.5","0.5","0.5","","","","","","","","",""
"2002","","","","","","","0","0","0","","","","","",""
"2004","","","","","","","0","0","0","","","","","",""
"2006","","","","","","","0","0","0","","","","","",""
"2009","0","0","0","","","","","","","","","","","",""
"2010","","","","0","0","0","","","","","","","","",""
"2020","","","","","","","0","0","0","","","","","",""
"2023","","","","","","","","","","0","0","0","66.2","66.2","66.2"
"2026","","","","","","","18","18","18","","","","","",""
"2028","","","","","","","","","","0","0","0","60.714285714285715","60.714285714285715","60.714285714285715"
"2031","","","","","","","","","","0","0","0","56.57142857142857","56.57142857142857","56.57142857142857"
"2041","","","","","","","6.285714285714286","6.285714285714286","6.285714285714286","","","","","",""
"2043","0","0","0","","","","","","","","","","","",""
"2048","","","","0","0","0","","","","","","","","",""
"2050","","","","0","0","0","","","","","","","","",""
"2051","0","0","0","","","","","","","","","","","",""
"2053","0.4","0.4","0.4","","","","","","","","","","","",""
"2056","","","","0","0","0","","","","","","","","",""
"2057","","","","0","0","0","","","","","","","","",""
"2059","","","","0","0","0","","","","","","","","",""
"2060","0","0","0","","","","","","","","","","","",""
"2062","","","","0","0","0","","","","","","","","",""
"2065","","","","0","0","0","","","","","","","","",""
"2072","0","0","0","","","","","","","","","","","",""
"2078","","","","","","","","","","0","0","0","2","2","2"
"2082","","","","0","0","0","","","","","","","","",""
"2088","","","","","","","","","","0","0","0","0","0","0"
"2091","","","","","","","","","","0","0","0","0","0","0"
"2093","","","","","","","0.75","0.75","0.75","","","","","",""
"2095","0","0","0","0","0","0","","","","","","","","",""
"2102","","","","","","","","","","0","0","0","0","0","0"
"2104","0","0","0","","","","","","","","","","","",""
"2109","","","","0","0","0","","","","","","","","",""
"2110","","","","0","0","0","","","","0","0","0","0","0","0"
"2125","0","0","0","","","","","","","","","","","",""
"2128","0","0","0","","","","","","","","","","","",""
"2134","","","","0","0","0","","","","","","","","",""
"2136","0","0","0","","","","","","","","","","","",""
"2137","","","","","","","0","0","0","","","","","",""
"2139","","","","","","","0","0","0","","","","","",""
"2141","","","","","","","0","0","0","","","","","",""
"2172","0","0","0","","","","","","","","","","","",""
"2181","","","","0","0","0","","","","","","","","",""
"2182","","","","0","0","0","","","","","","","","",""
"2184","0","0","0","","","","","","","","","","","",""
"2186","0","0","0","","","","0","0","0","","","","","",""
"2194","","","","","","","0","0","0","","","","","",""
"2195","","","","0","0","0","","","","","","","","",""
"2198","","","","","","","","","","0","0","0","21","21","21"
"2200","","","","","","","","","","0","0","0","21.666666666666668","21.666666666666668","21.666666666666668"
"2202","0","0","0","0","0","0","","","","","","","","",""
"2217","","","","0","0","0","","","","","","","","",""
"2220","","","","","","","0.6","0.6","0.6","","","","","",""
"2240","0.6666666666666666","0.6666666666666666","0.6666666666666666","","","","","","","","","","","",""
"2241","","","","","","","0","0","0","","","","","",""
"2243","","","","","","","0","0","0","","","","","",""
"2250","","","","","","","","","","0","0","0","0","0","0"
"2251","","","","","","","","","","0","0","0","0","0","0"
"2252","3.888888888888889","3.888888888888889","3.888888888888889","","","","","","","0","0","0","0","0","0"
"2256","","","","","","","6","6","6","","","","","",""
"2268","","","","","","","0","0","0","","","","","",""
"2269","","","","","","","0","0","0","","","","","",""
"2276","","","","","","","","","","0","0","0","0","0","0"
