"Step","00-dynamic","00-dynamic - dead-1__MIN","00-dynamic - dead-1__MAX","00-every-100","00-every-100 - dead-1__MIN","00-every-100 - dead-1__MAX","00-every-10","00-every-10 - dead-1__MIN","00-every-10 - dead-1__MAX","00-static-1","00-static-1 - dead-1__MIN","00-static-1 - dead-1__MAX","00-ofb","00-ofb - dead-1__MIN","00-ofb - dead-1__MAX"
"1999","","","","0","0","0","","","","","","","","",""
"2018","","","","","","","0","0","0","","","","","",""
"2030","","","","0","0","0","","","","","","","","",""
"2050","","","","","","","0","0","0","","","","","",""
"2053","","","","0","0","0","","","","","","","","",""
"2055","","","","","","","0","0","0","","","","","",""
"2056","","","","0","0","0","","","","","","","","",""
"2058","","","","0","0","0","","","","","","","","",""
"2060","","","","","","","0","0","0","","","","","",""
"2062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2064","0","0","0","","","","","","","0","0","0","0","0","0"
"2066","","","","","","","0","0","0","","","","","",""
"2074","","","","","","","0","0","0","","","","","",""
"2082","","","","0","0","0","","","","","","","","",""
"2095","","","","","","","0","0","0","","","","","",""
"2101","0","0","0","","","","","","","0","0","0","0","0","0"
"2116","","","","","","","0","0","0","","","","","",""
"2118","0","0","0","","","","","","","0","0","0","0","0","0"
"2120","","","","","","","0","0","0","","","","","",""
"2130","","","","0","0","0","","","","","","","","",""
"2131","","","","0","0","0","","","","","","","","",""
"2133","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"2134","","","","","","","0","0","0","","","","","",""
"2141","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"2155","","","","","","","0","0","0","","","","","",""
"2168","","","","0","0","0","","","","","","","","",""
"2174","","","","0","0","0","0","0","0","","","","","",""
"2188","","","","0","0","0","0","0","0","","","","","",""
"2191","","","","0","0","0","","","","","","","","",""
"2200","","","","","","","0","0","0","","","","","",""
"2202","0","0","0","","","","","","","0","0","0","0","0","0"
"2213","0","0","0","","","","","","","0","0","0","0","0","0"
"2216","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"2219","","","","","","","0","0","0","","","","","",""
"2221","0","0","0","","","","","","","0","0","0","0","0","0"
"2244","","","","","","","0","0","0","","","","","",""
"2265","","","","0","0","0","","","","","","","","",""
"2269","","","","","","","0","0","0","","","","","",""
"2275","","","","","","","0","0","0","","","","","",""
"2276","","","","0","0","0","","","","","","","","",""
"2279","","","","0","0","0","","","","","","","","",""
"2280","","","","","","","0","0","0","","","","","",""
"2284","0","0","0","","","","","","","0","0","0","1","1","1"
"2287","","","","0","0","0","","","","","","","","",""
"2288","","","","0","0","0","","","","","","","","",""
"2291","","","","","","","0","0","0","","","","","",""
"2294","","","","0","0","0","","","","","","","","",""
"2306","","","","0","0","0","","","","","","","","",""
"2311","","","","0","0","0","","","","","","","","",""
"2317","","","","0","0","0","0","0","0","","","","","",""
"2321","","","","0","0","0","","","","","","","","",""
"2324","","","","0","0","0","","","","","","","","",""
"2345","0","0","0","","","","","","","0","0","0","0","0","0"
"2346","0","0","0","","","","","","","0","0","0","0","0","0"
"2358","0","0","0","","","","","","","0","0","0","3","3","3"
"2364","0","0","0","","","","","","","0","0","0","0","0","0"
"2365","0","0","0","","","","","","","0","0","0","0","0","0"
"2366","","","","","","","0","0","0","","","","","",""
"2368","","","","","","","0","0","0","","","","","",""
"2373","0","0","0","0","0","0","","","","0","0","0","0","0","0"
"2374","","","","","","","0","0","0","","","","","",""
"2378","","","","0","0","0","","","","","","","","",""
"2380","0","0","0","","","","","","","0","0","0","3","3","3"
"2383","0","0","0","","","","","","","0","0","0","0","0","0"
"2385","","","","","","","0","0","0","","","","","",""
"2387","","","","","","","0","0","0","","","","","",""
"2393","","","","0","0","0","","","","","","","","",""
"2394","0","0","0","","","","","","","0","0","0","2","2","2"
"2396","0","0","0","","","","","","","0","0","0","0","0","0"
"2397","0","0","0","","","","","","","0","0","0","0","0","0"
"2400","","","","0","0","0","","","","","","","","",""
"2419","0","0","0","","","","","","","0","0","0","1","1","1"
"2423","0","0","0","","","","","","","0","0","0","2","2","2"
"2425","","","","","","","0","0","0","","","","","",""
"2431","","","","","","","0","0","0","","","","","",""
"2432","","","","","","","0","0","0","","","","","",""
"2435","","","","","","","0","0","0","","","","","",""
"2439","","","","","","","0","0","0","","","","","",""
"2467","","","","","","","0","0","0","","","","","",""
"2482","","","","","","","0","0","0","","","","","",""
"2494","","","","","","","0","0","0","","","","","",""
"2502","","","","","","","0","0","0","","","","","",""
"2506","","","","","","","0","0","0","","","","","",""
"2510","0","0","0","0","0","0","","","","0","0","0","0","0","0"
"2516","","","","0","0","0","0","0","0","","","","","",""
"2521","","","","","","","0","0","0","","","","","",""
"2528","","","","0","0","0","","","","","","","","",""
"2531","","","","0","0","0","","","","","","","","",""
"2533","0","0","0","","","","","","","0","0","0","1","1","1"
"2534","","","","0","0","0","","","","","","","","",""
"2551","","","","0","0","0","0","0","0","","","","","",""
"2557","0","0","0","","","","","","","0","0","0","1","1","1"
"2578","","","","","","","0","0","0","","","","","",""
"2593","","","","0","0","0","","","","","","","","",""
"2603","","","","0","0","0","","","","","","","","",""
"2605","","","","","","","0","0","0","","","","","",""
"2609","","","","0","0","0","","","","","","","","",""
"2624","","","","","","","0","0","0","","","","","",""
"2628","0","0","0","","","","","","","0","0","0","2","2","2"
"2640","","","","0","0","0","","","","","","","","",""
"2641","","","","0","0","0","","","","","","","","",""
"2648","0","0","0","","","","","","","0","0","0","0","0","0"
"2649","","","","","","","0","0","0","","","","","",""
"2657","","","","0","0","0","","","","","","","","",""
"2663","0","0","0","0","0","0","","","","0","0","0","0","0","0"
"2672","","","","0","0","0","","","","","","","","",""
"2674","","","","0","0","0","","","","","","","","",""
"2680","","","","0","0","0","","","","","","","","",""
"2683","0","0","0","","","","","","","0","0","0","0","0","0"
"2684","","","","0","0","0","","","","","","","","",""
"2686","","","","","","","0","0","0","","","","","",""
"2687","0","0","0","","","","","","","0","0","0","0","0","0"
"2689","","","","0","0","0","","","","","","","","",""
"2691","0","0","0","0","0","0","","","","0","0","0","0","0","0"
"2697","","","","0","0","0","","","","","","","","",""
"2714","","","","","","","0","0","0","","","","","",""
"2716","","","","","","","0","0","0","","","","","",""
"2718","0","0","0","","","","","","","0","0","0","2","2","2"
"2721","","","","0","0","0","","","","","","","","",""
"2726","","","","","","","0","0","0","","","","","",""
"2731","","","","","","","0","0","0","","","","","",""
"2741","","","","","","","0","0","0","","","","","",""
"2743","0","0","0","","","","","","","0","0","0","4","4","4"
"2752","","","","","","","0","0","0","","","","","",""
"2753","0","0","0","","","","","","","0","0","0","1","1","1"
"2754","0","0","0","","","","","","","0","0","0","4","4","4"
"2757","","","","0","0","0","","","","","","","","",""
"2761","0","0","0","","","","","","","0","0","0","0","0","0"
"2766","","","","","","","0","0","0","","","","","",""
"2778","","","","0","0","0","","","","","","","","",""
"2794","","","","0","0","0","","","","","","","","",""
"2803","","","","","","","0","0","0","","","","","",""
"2804","","","","","","","0","0","0","","","","","",""
"2808","","","","0","0","0","0","0","0","","","","","",""
"2812","","","","0","0","0","","","","","","","","",""
"2815","0","0","0","","","","","","","0","0","0","0","0","0"
"2820","","","","0","0","0","","","","","","","","",""
"2824","0","0","0","","","","","","","0","0","0","0","0","0"
"2834","0","0","0","","","","","","","0","0","0","0","0","0"
"2840","0","0","0","","","","","","","0","0","0","0","0","0"
"2844","","","","0","0","0","","","","","","","","",""
"2845","0","0","0","","","","","","","0","0","0","3","3","3"
"2849","","","","","","","0","0","0","","","","","",""
"2851","","","","0","0","0","","","","","","","","",""
"2863","","","","","","","0","0","0","","","","","",""
"2865","0","0","0","","","","","","","0","0","0","0","0","0"
"2866","0","0","0","","","","","","","0","0","0","0","0","0"
"2869","","","","0","0","0","","","","","","","","",""
"2874","","","","0","0","0","0","0","0","","","","","",""
"2875","","","","","","","0","0","0","","","","","",""
"2884","","","","","","","0","0","0","","","","","",""
"2887","","","","0","0","0","","","","","","","","",""
"2890","","","","0","0","0","","","","","","","","",""
"2893","","","","0","0","0","","","","","","","","",""
"2900","","","","","","","0","0","0","","","","","",""
"2901","","","","","","","0","0","0","","","","","",""
"2902","","","","","","","0","0","0","","","","","",""
"2903","","","","","","","0","0","0","","","","","",""
"2908","","","","","","","0","0","0","","","","","",""
"2915","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"2920","","","","","","","0","0","0","","","","","",""
"2926","0","0","0","","","","","","","0","0","0","0","0","0"
"2929","","","","","","","0","0","0","","","","","",""
"2935","","","","0","0","0","","","","","","","","",""
"2939","","","","0","0","0","","","","","","","","",""
"2946","","","","0","0","0","","","","","","","","",""
"2950","0","0","0","","","","","","","0","0","0","0","0","0"
"2951","","","","0","0","0","","","","","","","","",""
"2952","","","","0","0","0","","","","","","","","",""
"2954","","","","0","0","0","","","","","","","","",""
"2960","","","","0","0","0","","","","","","","","",""
