"Step","102-static-1","102-static-1 - dead-1__MIN","102-static-1 - dead-1__MAX","102-ofb","102-ofbt - dead-1__MIN","102-ofbt - dead-1__MAX","102-dynamic","102-dynamic - dead-1__MIN","102-dynamic - dead-1__MAX","102-every-10","102-every-10 - dead-1__MIN","102-every-10 - dead-1__MAX","102-every-100","102-every-100 - dead-1__MIN","102-every-100 - dead-1__MAX"
"1222","","","","","","","","","","","","","2","2","2"
"1226","","","","","","","","","","0","0","0","","",""
"1227","","","","3","3","3","","","","","","","","",""
"1228","","","","","","","0","0","0","","","","","",""
"1230","","","","0","0","0","","","","","","","","",""
"1231","","","","0","0","0","","","","","","","","",""
"1232","1","1","1","","","","","","","","","","","",""
"1233","","","","0","0","0","","","","","","","","",""
"1246","","","","","","","","","","5","5","5","","",""
"1249","","","","","","","0","0","0","","","","","",""
"1252","","","","0","0","0","","","","","","","","",""
"1253","","","","","","","","","","0","0","0","","",""
"1255","","","","0","0","0","","","","","","","","",""
"1262","","","","0","0","0","","","","","","","","",""
"1263","0","0","0","","","","","","","","","","","",""
"1265","","","","","","","","","","0","0","0","","",""
"1268","","","","","","","","","","","","","0","0","0"
"1271","0","0","0","","","","","","","","","","","",""
"1273","0","0","0","","","","","","","","","","","",""
"1275","","","","","","","","","","0","0","0","","",""
"1276","","","","","","","","","","0","0","0","0","0","0"
"1279","","","","0","0","0","","","","","","","","",""
"1281","","","","","","","0","0","0","","","","","",""
"1284","","","","","","","0","0","0","0","0","0","","",""
"1290","","","","","","","","","","","","","0","0","0"
"1293","0","0","0","","","","","","","","","","","",""
"1294","","","","","","","0","0","0","","","","","",""
"1295","0","0","0","","","","","","","","","","0","0","0"
"1296","","","","","","","","","","0","0","0","","",""
"1298","","","","","","","","","","0","0","0","","",""
"1303","","","","","","","","","","0","0","0","","",""
"1313","","","","2","2","2","","","","","","","","",""
"1324","","","","","","","","","","","","","0","0","0"
"1327","","","","","","","","","","0","0","0","","",""
"1336","","","","","","","","","","0","0","0","","",""
"1338","","","","4","4","4","","","","","","","","",""
"1341","","","","2","2","2","","","","","","","","",""
"1342","","","","","","","","","","0","0","0","","",""
"1343","","","","","","","0","0","0","","","","","",""
"1349","0","0","0","","","","","","","","","","","",""
"1358","","","","3","3","3","","","","","","","","",""
"1362","","","","","","","","","","0","0","0","","",""
"1366","8","8","8","","","","","","","","","","0","0","0"
"1370","","","","","","","","","","0","0","0","","",""
"1374","","","","","","","","","","0","0","0","","",""
"1376","","","","10","10","10","0","0","0","","","","","",""
"1378","","","","3","3","3","","","","","","","","",""
"1382","","","","7","7","7","","","","","","","","",""
"1383","","","","","","","","","","0","0","0","","",""
"1393","4","4","4","","","","","","","","","","","",""
"1394","","","","","","","0","0","0","","","","","",""
"1396","","","","","","","","","","","","","0","0","0"
"1397","","","","6","6","6","","","","","","","0","0","0"
"1403","","","","","","","","","","","","","0","0","0"
"1404","","","","","","","","","","6","6","6","","",""
"1405","","","","","","","","","","3","3","3","","",""
"1407","","","","","","","","","","3","3","3","","",""
"1415","","","","10","10","10","","","","","","","","",""
"1418","0","0","0","","","","","","","","","","","",""
"1422","0","0","0","","","","","","","","","","","",""
"1429","","","","0","0","0","","","","","","","","",""
"1437","","","","","","","","","","2","2","2","","",""
"1440","","","","","","","","","","","","","0","0","0"
"1443","0","0","0","3","3","3","","","","","","","","",""
"1445","0","0","0","","","","","","","","","","","",""
"1456","0","0","0","","","","","","","","","","0","0","0"
"1457","","","","","","","","","","","","","1","1","1"
"1458","","","","","","","","","","0","0","0","","",""
"1459","","","","9","9","9","","","","","","","","",""
"1460","","","","9","9","9","","","","","","","","",""
"1462","","","","","","","","","","0","0","0","","",""
"1465","","","","8","8","8","","","","","","","","",""
"1467","","","","","","","","","","0","0","0","","",""
"1475","4","4","4","","","","","","","","","","","",""
"1476","","","","","","","","","","","","","6","6","6"
"1481","","","","","","","","","","","","","8","8","8"
"1487","","","","","","","0","0","0","","","","","",""
"1488","","","","","","","","","","","","","5","5","5"
"1491","","","","","","","","","","","","","4","4","4"
"1496","0","0","0","","","","","","","","","","8","8","8"
"1498","0","0","0","0","0","0","","","","","","","","",""
"1504","","","","","","","","","","0","0","0","","",""
"1506","0","0","0","","","","","","","","","","","",""
"1508","","","","","","","","","","","","","9","9","9"
"1509","","","","","","","","","","0","0","0","8","8","8"
"1513","","","","0","0","0","","","","","","","","",""
"1514","","","","","","","","","","","","","9","9","9"
"1515","0","0","0","","","","","","","","","","","",""
"1519","","","","","","","","","","","","","0","0","0"
"1521","","","","","","","","","","","","","0","0","0"
"1527","","","","","","","","","","0","0","0","","",""
"1528","0","0","0","","","","","","","","","","","",""
"1529","0","0","0","","","","","","","","","","","",""
"1532","","","","","","","0","0","0","","","","","",""
"1533","0","0","0","","","","","","","","","","","",""
"1535","","","","","","","","","","0","0","0","","",""
"1536","","","","","","","","","","0","0","0","","",""
"1543","","","","","","","","","","0","0","0","","",""
"1544","","","","","","","","","","","","","0","0","0"
"1545","","","","","","","","","","","","","0","0","0"
"1547","","","","0","0","0","","","","","","","","",""
"1551","","","","","","","0","0","0","","","","","",""
"1553","","","","","","","0","0","0","","","","","",""
"1560","0","0","0","","","","","","","","","","","",""
"1563","","","","0","0","0","","","","","","","","",""
"1567","","","","","","","","","","0","0","0","","",""
"1569","","","","","","","0","0","0","","","","","",""
"1574","","","","0","0","0","","","","","","","","",""
"1575","0","0","0","","","","","","","","","","","",""
"1581","0","0","0","","","","","","","","","","","",""
"1583","","","","","","","","","","0","0","0","","",""
"1586","","","","","","","","","","","","","0","0","0"
"1590","","","","","","","0","0","0","","","","0","0","0"
"1601","","","","0","0","0","","","","","","","","",""
"1602","","","","","","","","","","","","","0","0","0"
"1604","","","","","","","0","0","0","","","","","",""
"1606","","","","","","","0","0","0","","","","","",""
"1607","0","0","0","","","","","","","","","","","",""
"1610","","","","","","","","","","0","0","0","","",""
"1611","","","","0","0","0","","","","0","0","0","","",""
"1612","","","","0","0","0","","","","","","","","",""
"1614","","","","","","","","","","","","","0","0","0"
"1620","0","0","0","","","","","","","","","","","",""
"1623","","","","","","","","","","","","","0","0","0"
"1624","","","","0","0","0","","","","","","","","",""
"1626","","","","","","","","","","0","0","0","","",""
"1634","0","0","0","","","","","","","","","","","",""
"1637","","","","","","","0","0","0","","","","","",""
"1641","","","","0","0","0","","","","","","","","",""
"1642","0","0","0","","","","","","","","","","","",""
"1652","0","0","0","","","","","","","","","","","",""
"1659","","","","","","","","","","0","0","0","","",""
"1660","","","","0","0","0","","","","","","","","",""
"1663","","","","","","","","","","","","","0","0","0"
"1664","","","","","","","","","","","","","0","0","0"
"1669","","","","","","","","","","","","","0","0","0"
"1672","","","","0","0","0","","","","","","","","",""
"1673","","","","0","0","0","","","","","","","","",""
"1677","","","","","","","0","0","0","","","","","",""
"1679","","","","","","","","","","","","","0","0","0"
"1682","0","0","0","","","","","","","","","","","",""
"1683","0","0","0","","","","","","","","","","","",""
"1684","0","0","0","","","","","","","","","","","",""
"1685","","","","0","0","0","","","","","","","","",""
"1686","","","","0","0","0","","","","0","0","0","","",""
"1688","","","","","","","","","","","","","0","0","0"
"1689","","","","0","0","0","","","","","","","","",""
"1692","","","","","","","0","0","0","","","","","",""
"1693","0","0","0","","","","","","","","","","","",""
"1701","0","0","0","","","","","","","","","","","",""
"1703","","","","0","0","0","","","","0","0","0","","",""
"1704","0","0","0","","","","","","","","","","","",""
"1707","","","","","","","0","0","0","","","","","",""
"1708","0","0","0","","","","","","","","","","","",""
"1713","0","0","0","","","","","","","","","","","",""
"1718","","","","0","0","0","","","","","","","0","0","0"
"1719","","","","","","","0","0","0","0","0","0","","",""
"1721","","","","0","0","0","","","","","","","","",""
"1727","0","0","0","","","","","","","","","","","",""
"1729","0","0","0","","","","","","","","","","","",""
"1736","","","","0","0","0","","","","","","","","",""
"1740","","","","0","0","0","","","","","","","","",""
"1742","","","","","","","0","0","0","","","","","",""
"1745","","","","0","0","0","","","","","","","","",""
"1749","","","","","","","","","","0","0","0","","",""
"1750","0","0","0","","","","","","","","","","","",""
"1763","","","","","","","","","","0","0","0","","",""
"1764","","","","","","","","","","","","","0","0","0"
"1765","","","","","","","0","0","0","","","","","",""
"1766","","","","","","","0","0","0","","","","","",""
"1767","","","","","","","0","0","0","","","","","",""
"1772","","","","","","","","","","","","","0","0","0"
"1774","","","","","","","","","","0","0","0","","",""
"1777","0","0","0","","","","","","","","","","","",""
"1778","0","0","0","","","","","","","","","","","",""
"1780","","","","","","","","","","0","0","0","","",""
"1785","","","","0","0","0","","","","","","","","",""
"1790","","","","","","","","","","0","0","0","","",""
"1795","","","","0","0","0","","","","","","","","",""
"1801","","","","","","","","","","0","0","0","","",""
"1803","","","","","","","","","","","","","0","0","0"
"1804","0","0","0","","","","","","","","","","","",""
"1805","","","","","","","","","","","","","0","0","0"
"1808","","","","","","","","","","","","","0","0","0"
"1823","","","","0","0","0","","","","","","","","",""
"1825","","","","0","0","0","","","","0","0","0","","",""
