"Step","102-static-1","102-static-1 - latency-1__MIN","102-static-1 - latency-1__MAX","102-ofb","102-ofbt - latency-1__MIN","102-ofbt - latency-1__MAX","102-dynamic","102-dynamic - latency-1__MIN","102-dynamic - latency-1__MAX","102-every-10","102-every-10 - latency-1__MIN","102-every-10 - latency-1__MAX","102-every-100","102-every-100 - latency-1__MIN","102-every-100 - latency-1__MAX"
"1364","","","","70","70","70","","","","","","","","",""
"1366","","","","","","","11.666666666666666","11.666666666666666","11.666666666666666","","","","","",""
"1372","0","0","0","","","","","","","","","","","",""
"1373","","","","","","","16","16","16","","","","","",""
"1376","","","","0","0","0","","","","0","0","0","51","51","51"
"1383","","","","","","","","","","0","0","0","55.666666666666664","55.666666666666664","55.666666666666664"
"1384","","","","0","0","0","","","","","","","","",""
"1395","","","","70","70","70","","","","0","0","0","62.8","62.8","62.8"
"1396","","","","0","0","0","","","","","","","","",""
"1400","","","","","","","","","","0","0","0","65.25","65.25","65.25"
"1402","","","","70","70","70","","","","","","","","",""
"1406","","","","70","70","70","31","31","31","","","","","",""
"1412","","","","70","70","70","","","","","","","","",""
"1413","","","","","","","35","35","35","","","","","",""
"1426","64.18181818181819","64.18181818181819","64.18181818181819","","","","","","","70","70","70","70","70","70"
"1431","","","","67.75","67.75","67.75","","","","","","","","",""
"1432","","","","68","68","68","","","","","","","","",""
"1435","62.55555555555556","62.55555555555556","62.55555555555556","","","","","","","","","","","",""
"1436","","","","","","","38.25","38.25","38.25","","","","","",""
"1449","","","","70","70","70","36.42857142857143","36.42857142857143","36.42857142857143","","","","","",""
"1453","61.833333333333336","61.833333333333336","61.833333333333336","","","","","","","","","","","",""
"1459","","","","","","","","","","0","0","0","70","70","70"
"1462","","","","","","","38.5","38.5","38.5","","","","","",""
"1464","65.8","65.8","65.8","","","","","","","","","","","",""
"1468","","","","","","","","","","63","63","63","70","70","70"
"1470","","","","","","","38.5","38.5","38.5","","","","","",""
"1476","70","70","70","","","","","","","","","","","",""
"1477","","","","","","","","","","65.14285714285714","65.14285714285714","65.14285714285714","70","70","70"
"1480","70","70","70","","","","","","","","","","","",""
"1483","70","70","70","","","","","","","","","","","",""
"1489","","","","70","70","70","","","","","","","","",""
"1491","","","","70","70","70","","","","","","","","",""
"1495","","","","","","","","","","64.72727272727273","64.72727272727273","64.72727272727273","70","70","70"
"1496","","","","","","","","","","64.66666666666667","64.66666666666667","64.66666666666667","0","0","0"
"1505","68.77777777777777","68.77777777777777","68.77777777777777","","","","20","20","20","","","","","",""
"1514","","","","66.33333333333333","66.33333333333333","66.33333333333333","","","","","","","","",""
"1519","","","","65.54545454545455","65.54545454545455","65.54545454545455","","","","","","","","",""
"1527","53.46153846153846","53.46153846153846","53.46153846153846","","","","","","","","","","","",""
"1528","53.30769230769231","53.30769230769231","53.30769230769231","","","","","","","","","","","",""
"1544","","","","","","","","","","26.928571428571427","26.928571428571427","26.928571428571427","68","68","68"
"1546","","","","","","","","","","23.666666666666668","23.666666666666668","23.666666666666668","68.66666666666667","68.66666666666667","68.66666666666667"
"1551","36.63636363636363","36.63636363636363","36.63636363636363","41","41","41","","","","","","","","",""
"1552","","","","40.5","40.5","40.5","","","","","","","","",""
"1553","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","","","","","",""
"1555","","","","","","","","","","15.153846153846153","15.153846153846153","15.153846153846153","68.5","68.5","68.5"
"1558","","","","","","","0","0","0","","","","","",""
"1566","","","","","","","0.4444444444444444","0.4444444444444444","0.4444444444444444","","","","","",""
"1567","24","24","24","","","","","","","","","","","",""
"1571","22.454545454545453","22.454545454545453","22.454545454545453","","","","","","","","","","","",""
"1572","","","","","","","0","0","0","","","","","",""
"1576","17","17","17","","","","","","","","","","","",""
"1580","","","","","","","0","0","0","","","","","",""
"1585","","","","","","","0","0","0","","","","","",""
"1595","","","","16.4","16.4","16.4","0","0","0","","","","","",""
"1600","","","","","","","0","0","0","","","","","",""
"1602","","","","","","","","","","0","0","0","60","60","60"
"1603","2.5","2.5","2.5","15.272727272727273","15.272727272727273","15.272727272727273","","","","","","","","",""
"1605","","","","","","","","","","0","0","0","60.6","60.6","60.6"
"1612","","","","","","","0","0","0","","","","","",""
"1616","","","","","","","0","0","0","","","","","",""
"1620","","","","","","","","","","0.6","0.6","0.6","58.666666666666664","58.666666666666664","58.666666666666664"
"1624","0","0","0","","","","","","","","","","","",""
